존댓말;formal/polite Korean
formal/polite Korean;존댓말
반말;intimate/informal language
intimate/informal language;반말
안녕하세요;Hello / Hi
Hello / Hi;안녕하세요
감사합니다;Thank you
Thank you;감사합니다
여기요;Here you go
Here you go;여기요
네.;Yes.
Yes.;네.
아니요.;No.
No.;아니요.
네;Agreement / Got it / I see / "What did you say?"
Agreement / Got it / I see / "What did you say?";네
커피 좋아해요?;Do you like coffee?
Do you like coffee?;커피 좋아해요?
아니요. 커피 안 좋아해요.;No, I don’t like coffee.
No, I don’t like coffee.;아니요. 커피 안 좋아해요.
네, 맞아요.;Yes, that is right.
Yes, that is right.;네, 맞아요.
안녕히 계세요.;Stay in peace.
Stay in peace.;안녕히 계세요.
안녕히 가세요.;Go in peace.
Go in peace.;안녕히 가세요.
죄송합니다;I am sorry.
I am sorry.;죄송합니다
저기요;Excuse me.
Excuse me.;저기요
/ 잠시만요.;Just a second.
Just a second.;/ 잠시만요.
/ 잠깐만요.;Just a second.
Just a second.;/ 잠깐만요.
물이에요?;Is that water? / Is this water?
Is that water? / Is this water?;물이에요?
가방이에요.;It is a bag.
It is a bag.;가방이에요.
사무실이에요.;It is an office.
It is an office.;사무실이에요.
학교예요.;It is a school.
It is a school.;학교예요.
학생이에요.;I am a student.
I am a student.;학생이에요.
저예요;It is me. / It is I.
It is me. / It is I.;저예요
뭐;what
what;뭐
뭐예요?;What is it? / What is that?
What is it? / What is that?;뭐예요?
이거 책이에요.;This is a book.
This is a book.;이거 책이에요.
이거 핸드폰이에요.;This is a cellphone.
This is a cellphone.;이거 핸드폰이에요.
이거 사전이에요.;This is a dictionary.
This is a dictionary.;이거 사전이에요.
네. 맞아요. 이거 커피예요.;Yes, that’s right. This is coffee.
Yes, that’s right. This is coffee.;네. 맞아요. 이거 커피예요.
이 사람;this person, this man here, this lady here, he, she
this person, this man here, this lady here, he, she;이 사람
그 사람;the person, that person, he, she
the person, that person, he, she;그 사람
저 사람;that person over there, he, she
that person over there, he, she;저 사람
우유 아니에요.;It is not milk.
It is not milk.;우유 아니에요.
물 아니에요.;It is not water.
It is not water.;물 아니에요.
저 학생 아니에요.;I am not a student.
I am not a student.;저 학생 아니에요.
그거 고양이 아니에요.;It is not a cat.
It is not a cat.;그거 고양이 아니에요.
저거 술 아니에요.;That is not liquor.
That is not liquor.;저거 술 아니에요.
이 책 좋아요.;This book is good.
This book is good.;이 책 좋아요.
이거 사과예요.;This is an apple.
This is an apple.;이거 사과예요.
이거는 뭐예요?;And as for this one, what is it?
And as for this one, what is it?;이거는 뭐예요?
오늘 날씨 좋네요.;The weather is good today.
The weather is good today.;오늘 날씨 좋네요.
오늘은 날씨 좋네요.;The weather (has not been so good lately, but) today (it) is good.
The weather (has not been so good lately, but) today (it) is good.;오늘은 날씨 좋네요.
뭐가 좋아요?;WHAT is good?
WHAT is good?;뭐가 좋아요?
시간;time
time;시간
친구 있어요?;Do you have friends? / Do they have friends?
Do you have friends? / Do they have friends?;친구 있어요?
친구 없어요.;I do not have friends.
I do not have friends.;친구 없어요.
시간 없어요.;There is no time. / I do not have time. / We do not have time.
There is no time. / I do not have time. / We do not have time.;시간 없어요.
TalkToMeInKorean 재미있어요!;TalkToMeInKorean is fun! / TalkToMeInKorean is interesting!
TalkToMeInKorean is fun! / TalkToMeInKorean is interesting!;TalkToMeInKorean 재미있어요!
사과;apple
apple;사과
돈;money
money;돈
사과 있어요;I have an apple. / There are apples. / They have some apples.
I have an apple. / There are apples. / They have some apples.;사과 있어요
사과 없어요;I do not have an apple. / There is no apple.
I do not have an apple. / There is no apple.;사과 없어요
시간 있어요?;Do you have some time?
Do you have some time?;시간 있어요?
시간 없어요?;You do not have time?
You do not have time?;시간 없어요?
돈 있어요?;Do you have money?
Do you have money?;돈 있어요?
돈 없어요?;You do not have money?
You do not have money?;돈 없어요?
맥주 주세요.;Please give me a beer.
Please give me a beer.;맥주 주세요.
사과 주세요.;Give me (an/some) apple(s).
Give me (an/some) apple(s).;사과 주세요.
네. 우유 있어요.;Yes, we have milk.
Yes, we have milk.;네. 우유 있어요.
밥 주세요.;Please give me rice. / Please give me food.
Please give me rice. / Please give me food.;밥 주세요.
맛있어요.;It is delicious.
It is delicious.;맛있어요.
맛없어요.;It is not tasty.
It is not tasty.;맛없어요.
이거 맛있어요.;This is delicious.
This is delicious.;이거 맛있어요.
저 케이크 맛있어요.;That cake is delicious.
That cake is delicious.;저 케이크 맛있어요.
뭐가 맛있어요?;What is delicious?
What is delicious?;뭐가 맛있어요?
치킨 맛있어요.;Chicken is delicious.
Chicken is delicious.;치킨 맛있어요.
이거 맛없어요?;Does this taste awful?
Does this taste awful?;이거 맛없어요?
이 차 맛없어요.;This tea tastes awful.
This tea tastes awful.;이 차 맛없어요.
잘 먹겠습니다.;Thank you for the food. / I will enjoy it.
Thank you for the food. / I will enjoy it.;잘 먹겠습니다.
잘 먹었습니다.;I enjoyed the meal. / Thanks for the food.
I enjoyed the meal. / Thanks for the food.;잘 먹었습니다.
가다;to go
to go;가다
보다;to see
to see;보다
먹다;to eat
to eat;먹다
가고 싶어요.;I want to go.
I want to go.;가고 싶어요.
보고 싶어요.;I want to see/look/watch.
I want to see/look/watch.;보고 싶어요.
먹고 싶어요.;I want to eat.
I want to eat.;먹고 싶어요.
뭐 먹고 싶어요?;What do you want to eat?
What do you want to eat?;뭐 먹고 싶어요?
회 먹고 싶어요.;I want to eat raw fish.
I want to eat raw fish.;회 먹고 싶어요.
주세요.;Please give me.
Please give me.;주세요.
더 주세요.;Please give me more.
Please give me more.;더 주세요.
더 먹고 싶어요.;I want to eat more.
I want to eat more.;더 먹고 싶어요.
하다;to do
to do;하다
보다;to see
to see;보다
먹다;to eat
to eat;먹다
사다;to buy
to buy;사다
마시다;to drink
to drink;마시다
뭐 하고 싶어요?;What do you want to do?
What do you want to do?;뭐 하고 싶어요?
텔레비전 보고 싶어요.;I want to watch TV.
I want to watch TV.;텔레비전 보고 싶어요.
텔레비전 보고 싶어요?;You want to watch TV?
You want to watch TV?;텔레비전 보고 싶어요?
뭐 보고 싶어요?;What do you want to watch?
What do you want to watch?;뭐 보고 싶어요?
뉴스 보고 싶어요.;I want to watch the news.
I want to watch the news.;뉴스 보고 싶어요.
이거 사고 싶어요.;I want to buy this.
I want to buy this.;이거 사고 싶어요.
이거요?;This one?
This one?;이거요?
네. 이거 먹고 싶어요.;Yeah. I want to eat this.
Yeah. I want to eat this.;네. 이거 먹고 싶어요.
읽고 싶어요;I want to read.
I want to read.;읽고 싶어요
자고 싶어요.;I want to sleep.
I want to sleep.;자고 싶어요.
놀고 싶어요.;I want to play.
I want to play.;놀고 싶어요.
