# https://talktomeinkorean.com/curriculum/level-1-korean-grammar/
# TTMIK Level 1 Lesson 1
존댓말 [jon-daen-mal];formal/polite Korean
formal/polite Korean;존댓말 [jon-daen-mal]
반말 [ban-mal];intimate/informal language
intimate/informal language;반말 [ban-mal]
안녕하세요 [an-nyeong-ha-se-yo];Hello / Hi
Hello / Hi;안녕하세요 [an-nyeong-ha-se-yo]
감사합니다 [gam-sa-ham-ni-da];Thank you
Thank you;감사합니다 [gam-sa-ham-ni-da]
여기요 [yeo-gi-yo];Here you go
Here you go;여기요 [yeo-gi-yo]
# TTMIK Level 1 Lesson 2
네. [ne];Yes.
Yes.;네. [ne]
아니요. [a-ni-yo];No.
No.;아니요. [a-ni-yo]
네 [ne];Agreement / Got it / I see / "What did you say?"
Agreement / Got it / I see / "What did you say?";네 [ne]
커피 좋아해요? [keo-pi jo-a-hae-yo?];Do you like coffee?
Do you like coffee?;커피 좋아해요? [keo-pi jo-a-hae-yo?]
아니요. 커피 안 좋아해요. [a-ni-yo. keo-pi an jo-a-hae-yo];No, I don’t like coffee.
No, I don’t like coffee.;아니요. 커피 안 좋아해요. [a-ni-yo. keo-pi an jo-a-hae-yo]
네, 맞아요. [ne, ma-ja-yo];Yes, that is right.
Yes, that is right.;네, 맞아요. [ne, ma-ja-yo]
# TTMIK Level 1 Lesson 3
안녕히 계세요. [an-nyeong-hi gye-se-yo.];Stay in peace.
Stay in peace.;안녕히 계세요. [an-nyeong-hi gye-se-yo.]
안녕히 가세요. [an-nyeong-hi ga-se-yo.];Go in peace.
Go in peace.;안녕히 가세요. [an-nyeong-hi ga-se-yo.]
# TTMIK Level 1 Lesson 4
죄송합니다 [joe-song-ham-ni-da];I am sorry.
I am sorry.;죄송합니다 [joe-song-ham-ni-da]
저기요 [jeo-gi-yo];Excuse me.
Excuse me.;저기요 [jeo-gi-yo]
# 잠시만요. [jam-si-man-nyo] = Just a second.
# 잠깐만요. [jam-kkan-man-nyo] = Just a second.
# TTMIK Level 1 Lesson 5
물이에요? [mu-ri-e-yo?];Is that water? / Is this water?
Is that water? / Is this water?;물이에요? [mu-ri-e-yo?]
가방이에요. [ga-bang-i-e-yo];It is a bag.
It is a bag.;가방이에요. [ga-bang-i-e-yo]
사무실이에요. [sa-mu-sil-i-e-yo];It is an office.
It is an office.;사무실이에요. [sa-mu-sil-i-e-yo]
학교예요. [hak-kkyo-ye-yo];It is a school.
It is a school.;학교예요. [hak-kkyo-ye-yo]
학생이에요. [hak-ssaeng-i-e-yo];I am a student.
I am a student.;학생이에요. [hak-ssaeng-i-e-yo]
저예요 [jeo-ye-yo];It is me. / It is I.
It is me. / It is I.;저예요 [jeo-ye-yo]
뭐 [mwo];what
what;뭐 [mwo]
뭐예요? [mwo-ye-yo?];What is it? / What is that?
What is it? / What is that?;뭐예요? [mwo-ye-yo?]
# TTMIK Level 1 Lesson 6
이거 책이에요. [i-geo chae-gi-e-yo.];This is a book.
This is a book.;이거 책이에요. [i-geo chae-gi-e-yo.]
이거 핸드폰이에요. [i-geo haen-deu-po-ni-e-yo.];This is a cellphone.
This is a cellphone.;이거 핸드폰이에요. [i-geo haen-deu-po-ni-e-yo.]
이거 사전이에요. [i-geo sa-jeo-ni-e-yo.];This is a dictionary.
This is a dictionary.;이거 사전이에요. [i-geo sa-jeo-ni-e-yo.]
네. 맞아요. 이거 커피예요. [ne. ma-ja-yo. i-geo keo-pi-ye-yo.];Yes, that’s right. This is coffee.
Yes, that’s right. This is coffee.;네. 맞아요. 이거 커피예요. [ne. ma-ja-yo. i-geo keo-pi-ye-yo.]
# TTMIK Level 1 Lesson 7
이 사람 [i sa-ram];this person, this man here, this lady here, he, she
this person, this man here, this lady here, he, she;이 사람 [i sa-ram]
그 사람 [geu sa-ram];the person, that person, he, she
the person, that person, he, she;그 사람 [geu sa-ram]
저 사람 [jeo sa-ram];that person over there, he, she
that person over there, he, she;저 사람 [jeo sa-ram]
# TTMIK Level 1 Lesson 8
우유 아니에요. [u-yu a-ni-e-yo.];It is not milk.
It is not milk.;우유 아니에요. [u-yu a-ni-e-yo.]
물 아니에요. [mul a-ni-e-yo.];It is not water.
It is not water.;물 아니에요. [mul a-ni-e-yo.]
저 학생 아니에요. [jeo hak-ssaeng a-ni-e-yo.];I am not a student.
I am not a student.;저 학생 아니에요. [jeo hak-ssaeng a-ni-e-yo.]
그거 고양이 아니에요. [geu-geo go-yang-i a-ni-e-yo.];It is not a cat.
It is not a cat.;그거 고양이 아니에요. [geu-geo go-yang-i a-ni-e-yo.]
저거 술 아니에요. [jeo-geo sul a-ni-e-yo.];That is not liquor.
That is not liquor.;저거 술 아니에요. [jeo-geo sul a-ni-e-yo.]
# TTMIK Level 1 Lesson 9
이 책 좋아요. [i chaek jo-a-yo.];This book is good.
This book is good.;이 책 좋아요. [i chaek jo-a-yo.]
이거 사과예요. [i-geo sa-gwa-ye-yo.];This is an apple.
This is an apple.;이거 사과예요. [i-geo sa-gwa-ye-yo.]
이거는 뭐예요? [i-geo-NEUN mwo-ye-yo?];And as for this one, what is it?
And as for this one, what is it?;이거는 뭐예요? [i-geo-NEUN mwo-ye-yo?]
오늘 날씨 좋네요. [o-neul nal-ssi jon-ne-yo.];The weather is good today.
The weather is good today.;오늘 날씨 좋네요. [o-neul nal-ssi jon-ne-yo.]
오늘은 날씨 좋네요. [o-neu-reun nal-ssi jon-ne-yo.];The weather (has not been so good lately, but) today (it) is good.
The weather (has not been so good lately, but) today (it) is good.;오늘은 날씨 좋네요. [o-neu-reun nal-ssi jon-ne-yo.]
뭐가 좋아요? [mwo-ga jo-a-yo?];WHAT is good?
WHAT is good?;뭐가 좋아요? [mwo-ga jo-a-yo?]
# TTMIK Level 1 Lesson 10
시간 [si-gan];time
time;시간 [si-gan]
친구 있어요? [chin-gu i-sseo-yo?];Do you have friends? / Do they have friends?
Do you have friends? / Do they have friends?;친구 있어요? [chin-gu i-sseo-yo?]
친구 없어요. [chin-gu eop-sseo-yo.];I do not have friends.
I do not have friends.;친구 없어요. [chin-gu eop-sseo-yo.]
시간 없어요. [si-gan eop-sseo-yo.];There is no time. / I do not have time. / We do not have time.
There is no time. / I do not have time. / We do not have time.;시간 없어요. [si-gan eop-sseo-yo.]
TalkToMeInKorean 재미있어요! [jae-mi-i-sseo-yo!];TalkToMeInKorean is fun! / TalkToMeInKorean is interesting!
